round,train_loss,train_acc,val_loss,val_acc
1,2.03331338221951,48.90457724304796,2.5683055452153654,38.92
2,1.9148223078293007,51.49094605194834,2.568998964526985,39.6
3,1.8278393596305442,53.429894048368745,2.5545269613024555,39.73
4,1.7455667708872065,55.34785058499884,2.5460416817966895,39.84
5,1.666326326110759,57.27354081734116,2.5622720824012273,39.84
6,1.5933304821223337,59.00036458851215,2.5643930661527414,40.15
7,1.5182663383416488,60.80452531680532,2.5787484857100473,40.24
8,1.4431345334743864,62.71585297139637,2.606383696387086,40.19
9,1.3669146569794564,64.68131649597295,2.617281200010565,39.81
10,1.3018138815994398,66.34185144675351,2.635705993145327,39.96
