round,avg_client_train_loss,avg_client_train_acc,global_val_loss,global_val_acc
1,3.6805425424937113,13.556966827560393,5.409846269989013,0.51
2,3.541915712522537,16.048720732211184,5.324748652648926,0.84
3,3.3534515200907244,19.853925485274747,5.078264920043945,2.06
4,3.181249742132572,22.756741249920104,4.772004573059082,4.74
5,3.022452244963925,25.830611266745024,4.566735649108887,6.47
6,2.8708538377073762,28.847979837429897,4.296359494018555,10.04
7,2.7614646409018215,31.264821681439237,4.172479903411865,11.21
8,2.6665246946788286,33.140223178317925,3.999366143798828,13.87
9,2.594032833933566,34.36536970071351,3.869016368484497,15.46
10,2.5240796132367613,35.84716642507553,3.7915367012023924,16.67
11,2.46190005837222,37.289805085610354,3.723315320587158,17.81
12,2.4174621443778075,38.17746823768673,3.6097126693725587,19.63
13,2.366178981191898,39.359661420139645,3.5597126327514648,20.41
14,2.3203921876415765,40.2333270495514,3.5009786655426027,21.09
15,2.277574036939474,41.071983368602545,3.4504431735992434,22.37
16,2.235991422813781,42.06696523264948,3.4199982028961182,22.4
17,2.1993327816395936,42.87766002165783,3.3757239944458006,23.72
18,2.165049599279084,43.6450973805846,3.3153956829071043,24.45
19,2.1367052750842896,44.28386351278519,3.288618450164795,24.6
20,2.101132106930417,44.96542995028143,3.263960185623169,24.88
21,2.06895791389639,45.7953946710448,3.217981677246094,25.78
22,2.043440495270068,46.263335644753624,3.1752696685791015,26.68
23,2.010951619216926,47.06492579025766,3.166875870132446,27.06
24,1.9845556434130054,47.70384738519778,3.1290576831817627,27.6
25,1.9522325083520236,48.472347867925734,3.096902564620972,28.1
26,1.929719327059773,48.89780198204208,3.0699784103393553,28.68
27,1.907509123523856,49.47354030828787,3.04914006690979,29.12
28,1.885487414445583,49.88048391963023,3.0221403873443604,29.23
29,1.862900695198507,50.391953612814646,2.998382558822632,30.16
30,1.8423270909849165,50.98293390329048,2.976304909133911,30.68
31,1.8153026234809242,51.71306243480952,2.966344324493408,30.45
32,1.7941124204765255,52.162135389757566,2.955191901397705,30.9
33,1.768740540919644,52.74285806558387,2.9370544898986815,31.16
34,1.7475616941896697,53.30039536425598,2.920582437133789,31.43
35,1.7373798419293038,53.30782466013159,2.8966789882659914,32.44
36,1.711852011239318,54.01726937305949,2.8725189613342286,32.43
37,1.6916464792459576,54.528009614983716,2.8573033424377443,32.43
38,1.676193617876638,54.784307197122054,2.851728037261963,32.49
39,1.6525153174451606,55.458211678133544,2.8309441482543947,33.09
40,1.6363984681251977,55.81230591838829,2.8164512660980225,33.63
41,1.6131432048974634,56.349491546350315,2.810866943359375,33.36
42,1.595656172451499,56.66797821424177,2.7793811779022217,34.35
43,1.5843970339626907,56.98671582182194,2.779516349220276,34.5
44,1.5669249463993633,57.38163790891612,2.7811952705383303,34.06
45,1.5451818647331323,58.10925519139903,2.762433111572266,34.95
46,1.5302566476233108,58.38484581934786,2.756004390716553,34.89
47,1.5117729190512412,58.93848187636131,2.755445371246338,35.12
48,1.497556544409753,59.01698910292962,2.7172099571228028,35.75
49,1.479863502536572,59.576058944759936,2.712967547607422,35.76
50,1.4682778720574858,59.9798273123409,2.707677003097534,35.95
