client_id,total_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21,class_22,class_23,class_24,class_25,class_26,class_27,class_28,class_29,class_30,class_31,class_32,class_33,class_34,class_35,class_36,class_37,class_38,class_39,class_40,class_41,class_42,class_43,class_44,class_45,class_46,class_47,class_48,class_49,class_50,class_51,class_52,class_53,class_54,class_55,class_56,class_57,class_58,class_59,class_60,class_61,class_62,class_63,class_64,class_65,class_66,class_67,class_68,class_69,class_70,class_71,class_72,class_73,class_74,class_75,class_76,class_77,class_78,class_79,class_80,class_81,class_82,class_83,class_84,class_85,class_86,class_87,class_88,class_89,class_90,class_91,class_92,class_93,class_94,class_95,class_96,class_97,class_98,class_99,class_100,class_101,class_102,class_103,class_104,class_105,class_106,class_107,class_108,class_109,class_110,class_111,class_112,class_113,class_114,class_115,class_116,class_117,class_118,class_119,class_120,class_121,class_122,class_123,class_124,class_125,class_126,class_127,class_128,class_129,class_130,class_131,class_132,class_133,class_134,class_135,class_136,class_137,class_138,class_139,class_140,class_141,class_142,class_143,class_144,class_145,class_146,class_147,class_148,class_149,class_150,class_151,class_152,class_153,class_154,class_155,class_156,class_157,class_158,class_159,class_160,class_161,class_162,class_163,class_164,class_165,class_166,class_167,class_168,class_169,class_170,class_171,class_172,class_173,class_174,class_175,class_176,class_177,class_178,class_179,class_180,class_181,class_182,class_183,class_184,class_185,class_186,class_187,class_188,class_189,class_190,class_191,class_192,class_193,class_194,class_195,class_196,class_197,class_198,class_199
0,9487,0,0,2,4,0,0,0,96,88,226,456,0,0,0,132,0,457,0,32,0,62,0,8,0,0,278,0,193,0,27,0,0,0,0,23,0,2,0,0,0,1,0,1,0,2,0,0,27,0,0,0,152,3,172,1,0,0,40,151,79,0,3,0,5,0,0,229,8,0,157,2,0,0,0,0,53,0,7,83,0,0,205,0,135,0,0,0,413,0,0,7,0,1,0,0,334,0,192,3,21,323,75,38,0,0,0,0,81,429,0,0,277,322,0,0,33,0,0,0,0,367,0,190,0,239,0,0,15,472,0,288,13,1,0,14,2,0,0,12,0,0,0,0,0,0,18,0,5,17,0,0,10,0,1,0,0,1,229,429,0,0,31,0,4,0,0,4,90,0,0,10,6,0,5,0,79,0,106,0,0,0,64,0,0,18,1,0,152,0,0,0,0,0,0,3,30,0,410,0,0
1,9711,10,232,0,48,4,0,0,0,372,0,9,0,0,0,0,23,2,0,256,317,11,0,0,31,48,12,65,12,359,67,143,9,134,58,0,0,21,0,0,1,0,0,0,0,23,88,12,42,227,1,4,0,75,0,0,23,298,37,0,0,82,1,0,3,0,1,0,0,8,0,0,79,66,263,3,69,98,0,0,0,0,0,37,38,1,0,8,0,117,35,0,0,1,0,0,0,106,0,137,5,149,4,0,43,0,396,0,0,3,4,1,31,41,407,0,3,54,0,0,0,0,118,0,1,0,0,0,0,2,381,29,0,0,0,96,12,0,17,1,435,279,0,351,0,0,0,90,358,0,0,51,0,0,0,0,0,437,0,44,436,0,6,0,144,23,10,0,172,155,0,0,1,251,1,50,0,0,0,10,3,0,0,46,21,30,1,2,2,9,0,0,3,3,32,0,167,0,0,63,0
2,8654,53,0,106,105,0,212,0,160,5,37,0,6,0,0,28,0,3,0,0,0,1,1,0,0,218,7,100,151,1,13,34,67,4,0,0,0,317,133,0,3,0,73,10,0,0,0,8,0,7,0,106,24,23,33,11,0,0,0,278,21,147,0,22,0,0,239,0,114,29,0,0,0,0,0,1,0,0,451,0,0,38,0,0,0,1,0,13,0,1,0,0,27,48,0,0,0,0,180,1,3,8,0,4,101,97,0,0,24,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,355,41,153,1,1,0,0,0,371,0,0,13,1,355,9,300,0,15,1,0,0,0,0,0,0,16,4,5,18,0,0,0,0,0,0,0,1,234,5,485,0,119,0,3,1,342,6,1,3,0,134,21,2,463,0,0,0,186,170,415,0,149,318,0,15,0,2,0,0,1,0,0,0,0,0,1,0
3,10852,0,259,375,0,4,197,1,0,0,0,0,137,107,102,190,9,13,1,3,123,0,0,11,0,0,0,0,0,125,29,38,325,117,0,0,0,0,0,284,2,0,113,368,0,0,0,0,72,162,220,93,161,0,0,0,0,0,0,2,54,34,28,0,2,211,169,0,0,0,0,152,0,1,0,0,0,0,0,0,19,14,0,299,46,54,0,0,0,0,0,0,20,0,0,285,0,0,0,0,14,1,223,0,344,239,0,0,80,7,8,360,0,0,0,2,441,0,0,1,0,7,21,18,1,0,0,0,12,12,0,75,5,0,231,0,0,0,472,2,0,1,0,0,0,122,1,0,0,0,1,0,430,341,39,5,0,0,0,0,0,0,274,2,119,0,48,0,0,0,0,9,0,2,0,1,0,0,5,0,0,0,96,0,0,64,0,446,281,1,0,0,167,0,450,0,19,304,1,1,15
4,11318,46,0,15,0,0,0,493,0,0,4,16,327,6,0,30,361,0,0,0,0,263,29,8,0,210,0,0,83,1,0,1,52,240,14,246,232,0,1,3,393,0,0,7,0,2,275,0,206,0,0,45,1,0,294,2,1,196,298,0,0,0,0,112,127,0,0,0,14,0,4,0,0,41,0,70,364,4,0,0,331,0,12,1,0,0,0,473,3,58,0,0,124,28,0,125,34,0,119,120,121,0,39,0,0,0,0,129,203,0,9,0,126,0,0,0,0,16,23,0,0,43,327,0,3,10,111,433,3,0,1,1,1,0,37,22,0,40,1,0,0,4,34,6,0,68,7,0,0,288,0,198,0,2,0,1,182,0,0,0,0,9,0,0,0,0,428,1,1,0,140,0,123,0,0,269,0,0,18,329,20,0,163,17,9,0,37,0,42,209,351,18,24,0,0,0,0,6,36,0,14
5,10506,0,0,0,303,0,0,0,113,0,0,6,0,0,20,1,1,24,0,0,0,0,0,1,0,2,0,163,0,3,1,283,45,0,0,0,264,2,128,173,0,25,313,0,0,0,0,460,87,99,5,0,89,0,0,0,2,0,123,10,310,0,14,9,0,114,0,3,0,462,0,0,3,0,0,425,0,0,0,238,0,0,282,0,122,156,8,0,0,316,0,0,0,7,0,2,3,393,1,214,335,0,27,297,1,0,99,115,0,0,422,0,1,0,0,0,6,0,0,38,0,0,0,15,14,0,0,27,194,0,12,0,0,291,0,0,0,0,0,174,25,2,1,0,159,0,473,15,83,0,0,245,2,0,0,0,35,2,0,0,0,0,176,0,112,0,0,1,0,0,0,0,2,30,0,158,1,33,0,129,359,313,3,0,7,0,0,10,0,2,0,0,144,0,0,0,0,79,0,0,9
6,10710,0,1,0,33,0,1,1,0,31,232,0,0,0,365,0,6,0,204,0,8,151,65,70,3,3,70,0,0,9,4,0,0,0,2,230,0,144,224,0,0,1,0,82,56,0,48,0,0,3,0,7,27,394,0,485,384,0,1,0,14,0,273,2,87,174,0,0,227,0,0,4,18,391,1,0,0,2,0,136,146,9,0,0,0,4,476,0,0,0,439,0,0,345,499,0,9,0,7,1,0,16,0,160,2,4,4,1,0,0,24,0,1,0,7,1,0,0,467,0,1,15,0,0,0,209,0,29,0,0,2,55,25,96,230,54,0,0,0,0,4,167,73,0,0,39,0,285,53,2,0,0,39,0,56,60,56,0,0,26,57,92,0,0,0,21,13,0,0,0,0,0,0,42,0,0,0,0,64,0,112,0,0,5,42,10,27,31,7,0,0,411,0,0,0,427,2,15,2,0,458
7,11101,389,0,0,0,491,89,4,27,1,0,0,7,366,0,11,3,0,294,0,0,11,397,5,0,11,132,0,0,1,358,0,1,4,5,0,0,11,13,0,1,0,0,0,110,0,0,0,0,1,0,0,0,0,0,0,74,5,0,4,0,1,0,0,0,0,1,267,43,0,0,1,77,0,18,0,0,190,0,15,0,437,0,162,158,0,0,0,0,0,1,0,328,0,0,0,0,0,0,0,0,0,0,0,0,157,0,252,0,38,31,0,0,0,0,170,10,429,4,460,17,1,33,0,125,0,0,1,0,13,26,51,0,0,1,292,279,0,0,4,0,0,390,136,291,22,0,0,0,131,0,0,0,0,1,208,2,59,267,0,0,2,5,0,89,331,0,0,1,2,351,312,9,6,98,0,413,0,0,0,5,0,3,0,21,14,6,0,0,278,0,59,0,495,17,9,149,0,0,0,0
8,10182,0,0,1,6,0,0,0,16,0,0,12,22,20,12,107,39,0,0,208,0,0,8,149,465,1,0,0,47,0,0,0,0,0,349,0,0,0,0,0,0,428,0,16,333,472,88,18,11,0,0,244,22,2,0,0,10,0,0,0,0,131,180,354,224,0,89,0,13,0,338,326,1,0,86,0,0,205,41,27,0,0,0,0,0,0,15,5,0,7,5,9,0,69,0,1,0,0,0,3,0,2,131,0,0,2,0,0,0,21,0,0,53,135,80,132,3,1,1,0,481,63,0,276,0,0,235,8,6,0,0,0,53,0,0,8,205,13,0,0,35,2,0,0,46,221,0,109,0,39,0,0,0,0,69,224,224,0,3,0,1,0,0,0,0,5,0,4,0,0,2,167,147,0,0,0,4,3,260,29,0,0,0,0,394,126,109,0,0,0,146,11,0,0,0,0,130,67,24,434,3
9,7479,2,8,1,1,1,1,1,88,3,1,1,1,1,1,1,58,1,1,1,52,1,0,248,1,7,1,172,14,1,1,1,1,1,72,1,4,3,1,40,100,45,1,16,1,1,1,2,55,1,274,1,24,3,1,1,6,1,1,55,22,105,1,1,52,1,1,1,81,1,1,15,322,1,132,1,14,1,1,1,4,2,1,1,1,284,1,1,84,1,20,484,1,1,1,87,120,1,1,21,1,1,1,1,9,1,1,3,112,2,2,132,9,1,6,195,4,0,5,1,1,4,1,1,1,1,1,1,269,1,78,1,32,112,1,1,1,92,1,7,1,30,1,7,4,28,1,1,1,7,495,1,1,157,334,2,1,1,1,1,5,163,3,13,32,1,1,487,235,1,1,1,209,169,262,1,1,1,47,3,1,1,1,17,6,89,1,11,1,1,1,1,162,1,1,61,3,29,27,1,1
