fc_weight_l2_distance,fc_bias_l2_distance,round,tag
10.792573928833008,0.12282361835241318,1,oracle_vs_full
10.627260208129883,0.12046203762292862,2,oracle_vs_full
10.428726196289062,0.11753233522176743,3,oracle_vs_full
10.221283912658691,0.11397917568683624,4,oracle_vs_full
10.019466400146484,0.1110282763838768,5,oracle_vs_full
9.835355758666992,0.1080595999956131,6,oracle_vs_full
9.678135871887207,0.10559682548046112,7,oracle_vs_full
9.538528442382812,0.10217012465000153,8,oracle_vs_full
9.418818473815918,0.09836389869451523,9,oracle_vs_full
9.311859130859375,0.09598062187433243,10,oracle_vs_full
9.219027519226074,0.09377770870923996,11,oracle_vs_full
9.140233039855957,0.09088961780071259,12,oracle_vs_full
9.070792198181152,0.08759646862745285,13,oracle_vs_full
9.011519432067871,0.08528626710176468,14,oracle_vs_full
8.959850311279297,0.08295515179634094,15,oracle_vs_full
8.91661548614502,0.08020465821027756,16,oracle_vs_full
8.880457878112793,0.07808680087327957,17,oracle_vs_full
8.851458549499512,0.07539480179548264,18,oracle_vs_full
8.826363563537598,0.07332858443260193,19,oracle_vs_full
8.808694839477539,0.0716259703040123,20,oracle_vs_full
8.796527862548828,0.06909872591495514,21,oracle_vs_full
8.788390159606934,0.06684568524360657,22,oracle_vs_full
8.786856651306152,0.06451457738876343,23,oracle_vs_full
8.789011001586914,0.0624016635119915,24,oracle_vs_full
8.795732498168945,0.06025250256061554,25,oracle_vs_full
8.805346488952637,0.05836280435323715,26,oracle_vs_full
8.819536209106445,0.05666349455714226,27,oracle_vs_full
8.836776733398438,0.05423638969659805,28,oracle_vs_full
8.857695579528809,0.052852507680654526,29,oracle_vs_full
8.882742881774902,0.05068770796060562,30,oracle_vs_full
8.910240173339844,0.04913971200585365,31,oracle_vs_full
8.938631057739258,0.04714198410511017,32,oracle_vs_full
8.970816612243652,0.044825904071331024,33,oracle_vs_full
9.008673667907715,0.043250732123851776,34,oracle_vs_full
9.046136856079102,0.04219852387905121,35,oracle_vs_full
9.085289001464844,0.04064985737204552,36,oracle_vs_full
9.12914752960205,0.03904375433921814,37,oracle_vs_full
9.17551040649414,0.0375426784157753,38,oracle_vs_full
9.221760749816895,0.03678658604621887,39,oracle_vs_full
9.269508361816406,0.03508339822292328,40,oracle_vs_full
9.32044506072998,0.034026578068733215,41,oracle_vs_full
9.373446464538574,0.03333955258131027,42,oracle_vs_full
9.427273750305176,0.03232671320438385,43,oracle_vs_full
9.482609748840332,0.03207193687558174,44,oracle_vs_full
9.540186882019043,0.03176631033420563,45,oracle_vs_full
9.598895072937012,0.031498346477746964,46,oracle_vs_full
9.658024787902832,0.03133456036448479,47,oracle_vs_full
9.719149589538574,0.030866773799061775,48,oracle_vs_full
9.783647537231445,0.030862130224704742,49,oracle_vs_full
9.84707260131836,0.031009692698717117,50,oracle_vs_full
