round,avg_client_train_loss,avg_client_train_acc,oracle_val_loss,oracle_val_acc,oracle_to_full_l2,oracle_update_norm
1,3.6657803804854456,13.748748116366118,5.441093265533447,0.54,34618.82421875,714.0538940429688
2,3.5172728047845148,16.770965064744548,5.418809810638428,0.68,33907.75390625,711.6052856445312
3,3.3316889889261345,20.07081039288319,5.0678557121276855,2.37,33196.6875,711.2391357421875
4,3.1454322592707316,23.556580869095363,4.778600160217285,4.68,32485.619140625,711.1448364257812
5,2.9786473437251555,26.65528393659437,4.555769850158692,7.28,31774.55078125,711.1296997070312
6,2.8384898784781822,29.677610252548998,4.3259181327819825,9.49,31063.478515625,711.1178588867188
7,2.7354975944248627,31.632599290077888,4.173560848999023,11.41,30352.412109375,711.110595703125
8,2.64421511240865,33.43650545540449,4.028553712463379,13.31,29641.341796875,711.1026611328125
9,2.5636660460036556,34.87800039920446,3.9393365215301515,14.68,28930.2734375,711.1007690429688
10,2.5011783149724556,36.468413467289366,3.880848908996582,15.39,28219.203125,711.10009765625
11,2.441536504698003,37.626787695497086,3.7812203758239744,17.05,27508.1328125,711.0975952148438
12,2.38781009704225,38.76682945711603,3.6731972160339357,18.53,26797.0625,711.0925903320312
13,2.33332013051797,39.90311096185393,3.6275079662323,19.2,26085.994140625,711.0916748046875
14,2.2951451065223574,40.69741461215521,3.5797840900421143,19.58,25374.9296875,711.0924072265625
15,2.2498076892101144,42.02279930475744,3.520417900466919,20.89,24663.861328125,711.0911254882812
16,2.2156408649357107,42.44563273353504,3.4767229679107667,21.68,23952.791015625,711.0897827148438
17,2.1732985323761715,43.404682218841586,3.4477208641052246,21.69,23241.720703125,711.0892333984375
18,2.142617683274114,44.00262151323155,3.422363538360596,22.1,22530.650390625,711.087646484375
19,2.109970080931665,44.802601457828565,3.380171075057983,23.4,21819.58203125,711.0873413085938
20,2.085754955754458,45.490836276459085,3.3270288036346436,24.01,21108.513671875,711.0869140625
21,2.0466482062550155,46.343192367557826,3.289788521575928,24.61,20397.443359375,711.0869140625
22,2.0186294633138564,46.851117165554015,3.264576938247681,25.23,19686.375,711.0847778320312
23,1.9828005272936526,47.67879966580749,3.2243937194824217,25.75,18975.306640625,711.0844116210938
24,1.9598527641017174,48.38882778729074,3.1945582305908204,26.56,18264.244140625,711.0848388671875
25,1.9336590743169684,48.986580766032574,3.182962097930908,26.31,17553.173828125,711.0858154296875
26,1.9077502436938876,49.469893755792405,3.140231450653076,27.18,16842.10546875,711.0845947265625
27,1.8798903317529119,50.116241510360496,3.1504909317016603,27.05,16131.0361328125,711.0838623046875
28,1.8549444289584551,50.64674852402848,3.0913945713043214,28.59,15419.96875,711.0830688476562
29,1.8338489005823233,51.07919328885078,3.093923284912109,27.76,14708.900390625,711.0838623046875
30,1.808624128125077,51.75693107937186,3.0846009284973146,28.04,13997.8310546875,711.0828247070312
31,1.7823690245825763,52.373663351397305,3.035842351150513,29.23,13286.7646484375,711.081298828125
32,1.771808447034604,52.443939283432236,3.0244686431884764,29.26,12575.701171875,711.0822143554688
33,1.7418759483429358,53.480858693526436,3.009198924255371,29.74,11864.6337890625,711.0817260742188
34,1.71659947690355,53.800840127258056,2.9836498151779174,30.04,11153.5673828125,711.0808715820312
35,1.6949962631791469,54.490238609783354,2.985799437713623,29.84,10442.5009765625,711.0813598632812
36,1.6760728129364026,54.85438890806274,2.965697508239746,30.68,9731.4345703125,711.0811767578125
37,1.6544415243615005,55.20771617669281,2.9529469299316404,30.76,9020.376953125,711.0804443359375
38,1.6374865193707147,55.77183154787953,2.9253784923553465,31.29,8309.3115234375,711.0808715820312
39,1.6126591557591772,56.40388901948009,2.9174713260650633,31.69,7598.24951171875,711.0810546875
40,1.599045454001273,56.76871126139447,2.9028861513137816,31.81,6887.1884765625,711.07958984375
41,1.578931860146814,56.97649805098571,2.891276064682007,31.82,6176.13525390625,711.0792236328125
42,1.5612916642349606,57.55650935397825,2.8614544548034666,32.64,5465.07861328125,711.080322265625
43,1.546120544848669,57.77379834726733,2.8787965221405027,32.3,4754.02880859375,711.0790405273438
44,1.5251882970232757,58.49959802132987,2.8606428436279296,32.21,4042.988525390625,711.0795288085938
45,1.5039820370762678,58.89516593694566,2.835004851150513,33.06,3331.95654296875,711.0791015625
46,1.4870070160237643,59.329900779684294,2.842606330871582,33.09,2620.947998046875,711.0786743164062
47,1.471722226850582,59.820792707212036,2.8258186811447144,33.43,1909.9833984375,711.0787353515625
48,1.451586178962575,60.21243408674573,2.828715731048584,33.11,1199.150390625,711.07958984375
49,1.4338320162127778,60.592271975445314,2.8052051906585693,33.64,489.2347717285156,711.0784301757812
50,1.419078530658397,60.828586079191524,2.81834467754364,33.47,228.0729217529297,711.0784301757812
