layer,l2_distance
conv1.weight,11.934784889221191
bn1.weight,2.3678030967712402
bn1.bias,1.34456205368042
layer1.0.conv1.weight,9.40963363647461
layer1.0.bn1.weight,2.3820717334747314
layer1.0.bn1.bias,0.8974045515060425
layer1.0.conv2.weight,8.390380859375
layer1.0.bn2.weight,2.3626549243927
layer1.0.bn2.bias,0.6630370616912842
layer1.1.conv1.weight,7.5624470710754395
layer1.1.bn1.weight,2.6609063148498535
layer1.1.bn1.bias,0.6929859519004822
layer1.1.conv2.weight,7.041764259338379
layer1.1.bn2.weight,2.6760005950927734
layer1.1.bn2.bias,0.5523213148117065
layer2.0.conv1.weight,9.11998462677002
layer2.0.bn1.weight,3.776594638824463
layer2.0.bn1.bias,0.9493046998977661
layer2.0.conv2.weight,11.80282211303711
layer2.0.bn2.weight,3.4696178436279297
layer2.0.bn2.bias,0.6221312284469604
layer2.0.downsample.0.weight,6.136345386505127
layer2.0.downsample.1.weight,3.628708839416504
layer2.0.downsample.1.bias,0.6221312284469604
layer2.1.conv1.weight,10.78325366973877
layer2.1.bn1.weight,3.941788673400879
layer2.1.bn1.bias,1.259953498840332
layer2.1.conv2.weight,10.430155754089355
layer2.1.bn2.weight,4.204784870147705
layer2.1.bn2.bias,0.8329224586486816
layer3.0.conv1.weight,13.664239883422852
layer3.0.bn1.weight,5.56064510345459
layer3.0.bn1.bias,1.5236876010894775
layer3.0.conv2.weight,17.612545013427734
layer3.0.bn2.weight,4.697185039520264
layer3.0.bn2.bias,1.0232949256896973
layer3.0.downsample.0.weight,8.041540145874023
layer3.0.downsample.1.weight,5.691027641296387
layer3.0.downsample.1.bias,1.0232949256896973
layer3.1.conv1.weight,15.097193717956543
layer3.1.bn1.weight,6.028030872344971
layer3.1.bn1.bias,2.165095329284668
layer3.1.conv2.weight,14.980932235717773
layer3.1.bn2.weight,6.551215648651123
layer3.1.bn2.bias,1.6491811275482178
layer4.0.conv1.weight,20.34677505493164
layer4.0.bn1.weight,8.509369850158691
layer4.0.bn1.bias,3.069289445877075
layer4.0.conv2.weight,21.42815399169922
layer4.0.bn2.weight,4.470702171325684
layer4.0.bn2.bias,0.9639991521835327
layer4.0.downsample.0.weight,11.140466690063477
layer4.0.downsample.1.weight,5.985025882720947
layer4.0.downsample.1.bias,0.9639991521835327
layer4.1.conv1.weight,20.163829803466797
layer4.1.bn1.weight,8.355385780334473
layer4.1.bn1.bias,2.655707836151123
layer4.1.conv2.weight,17.20125961303711
layer4.1.bn2.weight,2.8398382663726807
layer4.1.bn2.bias,1.11527681350708
fc.weight,16.89940643310547
fc.bias,0.15311305224895477
